Unique ID,Post,defamation,fake,hate,non-hostile,offensive
1,"मेरे देश के हिन्दु बहुत निराले है। कुछ तो पक्के राम भक्त है और कुछ बाबर के साले है 

🙏 जय श्री राम 🙏",0,0,1,0,1
2,"सरकार हमेशा से किसानों की कमाई को बढ़ाने के लिए नई-नई स्कीमें लाती रहती है, ताकि उन पर ज्यादा आर्थिक बोझ न पड़े.

https://t.co/8iy2MJSBAs",0,0,0,1,0
3,"सुशांत ने जो बिजनेस डील 9 जून को की थी, वो डील दीपेश को सुशांत की हत्या के दिन ही क्यों याद आई? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर #LIVE :  https://t.co/G945HvzM0Z https://t.co/KfH7xF1IdM",0,0,0,1,0
4,@prabhav218 साले जेएनयू छाप कमिने लोग हिन्दुओं को यह कहते है की संविधान सबको बराबर अधिकार देता है। सच्चाई यह है कि यह बराबर अधिकार नहीं देता है।,1,0,0,0,1
5,"#unlock4guidelines - अनलॉक-4 के लिए गाइडलाइन्स जारी

- 7 सितंबर से देशभर में मेट्रो सेवा शुरु होगी
- 21 सितंबर के बाद रैलियों और बाकी फंक्शन में 100 लोगों को इजाजत
- कंटेनमेंट जोन में कोई छूट नहीं
- सिनेमाहॉल अभी बंद रहेंगे
- 9 से 12वीं के छात्र 21 सितंबर के बाद स्कूल जा सकेंगे. https://t.co/4e6lysg0VR",0,0,0,1,0
6,"चीन ने UN में तर्क दिया की भारत का विपक्ष ही अजर‌ मसुद को आतंकी नहीं मानता तो हम कैसे माने। चुल्लू भर मूत्र में डूब मरो गद्दारों। अब यह भारत के लोगों को सोचना है कि वो विपक्ष को वोट क्यों करें…विक्रम शर्मा

",0,1,0,0,0
7,"देश में #Corona के रिकॉर्ड मामले  
#ZeeJankariOnCorona  
@Sheerin_sherry https://t.co/V6UddREAtW",0,0,0,1,0
8,"#JEE Exam center से निकले #Students को सुन बाकी छात्रों के साथ Parents के चेहरे पर मुस्कान आ जाएगी
https://t.co/TQ7nfIv0I0 https://t.co/gGCDYYEz6E",0,0,0,1,0
9,"#AkshayKumar जल्द ही बेयर ग्रिल्स के शो 'इंटू द वाइल्ड विद बेयर ग्रिल्स' में नजर आने वाले हैं। 

https://t.co/wGp2WS0wuM",0,0,0,1,0
10,"#जीवनसंवाद: हम संघर्ष करना चाहते हैं, क्योंकि सामने संघर्ष की मिसाल रखना चाहते हैं. नए शहर में इतना कुछ नया होगा कि हमें अपनी जड़ें जमाने में बरसों बीत जाएंगे. हम कर्ज में जरूर हैं, लेकिन हम हारना नहीं चाहते. वह भी बिना लड़े.
#JeevanSamvad
@DayashankarMi
https://t.co/nd7troF0JF https://t.co/CmAzq2Mj8S",0,0,0,1,0
11,"RT @_Pb_swain_: मोदीजी और जब सारा देश सेना के साथ खडी है,

पर दो सयाने विदेश मे पडे है?🤔 इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त न…",0,0,1,0,0
12,"RT @ShilpiSinghINC: 48000 घरों को तोड़ने का आदेश आया है, किसी को कोई फर्क़ नहीं पड़ता!

अमीरों के 5 में से 1 मकान के किसी अवैध हिस्से भी एक…",0,0,0,0,1
13,"जब बीजेपी प्रवक्ता @sambitswaraj ने कांग्रेस प्रवक्ता @SupriyaShrinate को कहा हेड मिस्ट्रेस तो सुनिए कांग्रेस प्रवक्ता ने क्या जवाब दिया
#हल्ला_बोल @anjanaomkashyap #RE https://t.co/WWDYuWikCE",0,0,0,1,0
14,"बियर ग्रिल्स के साथ खतरनाक जंगलों में दिखेंगे अक्षय कुमार, जारी किया वीडियो

@akshaykumar
@BearGrylls

https://t.co/VPLwEQsqAv",0,0,0,1,0
15,"आजम खान की बेटी पर ससूर ने किया रेप।
अब quatation ये उठता है कि होने वाला बच्चा आजम खान के रियल दमाद को क्या बोलेगा।
",0,0,0,0,1
16,कांग्रेस मूल की कंगना रनौत बिहार चुनाव में भाजपा का प्रचार करेंगी! #NATIONALNEWS,0,1,0,0,0
